Dates,IND1BTY Index,IND1BRX Index,SGIXBGB Index,IND1BJB Index,SPROLL,IND1CJE1 Index,IND1CEE1 Index,SGBVRZ1 Index,EM Index,OILROLL,GOLDROLL,SILVERROLL
1995-01-31,2024.226,1050.534,1123.618,1318.715,1000.0,494.498,1048.1,1160.215,1000.0,1000.0,1000.0,1000.0
1995-02-01,2018.628,1049.721,1125.341,1319.934,999.37,496.08,1060.73,1171.261,1011.979682,1007.069033,1002.647205,1001.50061
1995-02-02,2014.895,1047.512,1124.652,1317.009,1005.19,492.915,1057.64,1177.85,1007.384282,1008.156577,1003.70536,1010.507194
1995-02-03,2042.266,1051.348,1121.551,1318.593,1018.74,490.805,1076.44,1187.539,1028.725209,1021.207099,1002.912653,1001.930609
1995-02-06,2036.668,1051.581,1122.585,1320.421,1022.34,493.97,1082.11,1189.477,1038.914037,1010.875435,1001.587232,1009.006585
1995-02-07,2037.29,1055.3,1130.51,1322.858,1022.87,490.805,1084.42,1192.578,1031.38902,1003.806402,998.940027,999.7864629
1995-02-08,2036.046,1054.952,1128.787,1322.493,1021.5,483.948,1081.85,1193.74,1021.321371,995.6259762,1001.587232,1011.510526
1995-02-09,2028.581,1056.23,1129.821,1323.102,1022.13,481.047,1101.17,1206.143,1011.301441,993.2203426,1002.912653,1019.88235
1995-02-10,2023.604,1052.278,1121.551,1322.371,1024.25,483.948,1100.39,1210.406,1011.549659,1005.92849,1001.85268,1020.136839
1995-02-13,2024.848,1048.674,1112.592,1323.468,1023.61,485.795,1099.62,1194.515,1003.051332,998.5753816,1000.529077,1013.332904
1995-02-14,2036.046,1049.721,1113.281,1324.93,1024.35,480.52,1101.42,1190.252,993.241734,1003.518617,1001.85268,1019.698064
1995-02-15,2044.133,1055.184,1122.585,1328.586,1030.92,475.245,1103.23,1191.802,978.8945946,1007.363709,1002.381758,1013.97059
1995-02-16,2050.353,1052.743,1120.517,1328.22,1029.86,472.08,1095.76,1179.981,968.0931174,1013.955219,1002.381758,1013.543516
1995-02-17,2048.487,1052.976,1119.828,1328.829,1025.94,476.828,1094.21,1179.787,978.4673796,1028.785454,1007.677986,1023.304793
1995-02-21,2045.999,1050.302,1113.626,1331.998,1025.84,479.465,1085.97,1173.199,959.0971698,1023.842219,1007.677986,1016.515484
1995-02-22,2062.173,1049.721,1117.845,1333.46,1031.55,479.465,1080.82,1169.323,948.7135992,1023.293148,1010.059744,1037.307561
1995-02-23,2059.681,1057.16,1127.141,1344.062,1034.94,470.234,1098.33,1182.888,969.5373926,1012.307474,1008.736141,1030.518252
1995-02-24,2063.112,1053.324,1117.418,1341.259,1034.94,463.641,1094.98,1173.199,975.5737234,1026.588638,1001.323603,992.540828
1995-02-27,2073.257,1059.95,1118.794,1349.058,1027.0,445.444,1085.45,1168.935,960.6175891,1024.940893,1000.794525,963.2599214
1995-02-28,2077.008,1057.277,1121.202,1347.474,1034.63,448.345,1085.2,1166.997,970.208875,1015.603494,1001.587232,968.5632465
1995-03-01,2076.382,1061.229,1128.083,1346.864,1029.54,438.059,1097.05,1178.625,967.6961427,1006.266095,996.0273738,938.22343
